序1 :A03583:藉:借:藉:一簡對多
序181 :B04119:薴:苧:薴:一對未知:G3-06660:薴:苧:無異體
序183 :B03817:苨:苨:無相關對應:一對未知
序184 :B03821:苫:苫:無相關對應:一對未知:G2-03858:無繁體:苫:無異體
序186 :B03824:苬:苬:無相關對應:一對未知
序187 :B03815:苯:苯:無相關對應:一對未知:G2-03855:無繁體:苯:無異體
序189 :A03455:英:英:佔格:一簡對一:G1-01006:無繁體:英:無異體
序191 :B03826:苲:苲:無相關對應:一對未知
序192 :B03823:苴:苴:無相關對應:一對未知:G2-03860:無繁體:苴:無異體
序194 :B03827:苵:苵:無相關對應:一對未知
序195 :B03831:苶:苶:無相關對應:一對未知
序196 ::::::G2-03854:無繁體:苷:無異體
序197 :B03814:苹:苹:無相關對應:一對未知:G1-01004:蘋:苹:無異體
序198 :A03596:蘋:苹:蘋:一簡對一:G1-01004:蘋:苹:無異體
序199 :B03814:苹:苹:無相關對應:一對未知:G1-01004:蘋:苹:無異體
序200 :A03596:蘋:苹:蘋:一簡對一:G1-01004:蘋:苹:無異體
序202 :B03829:苻:苻:無相關對應:一對未知:G2-03864:無繁體:苻:無異體
序204 :B03813:苾:苾:無相關對應:一對未知:G3-06661:無繁體:苾:無異體
序206 :B03818:茀:茀:無相關對應:一對未知:G2-03872:無繁體:茀:無異體
序208 :A03456:茁:茁:佔格:一簡對一:G1-01012:無繁體:茁:無異體
序210 :A03451:茂:茂:佔格:一簡對一:G1-01003:無繁體:茂:無異體
序211 :B01765:楙:茂:楙:一對未知:G1-01003:無繁體:茂:無異體
序212 :A03451:茂:茂:佔格:一簡對一:G1-01003:無繁體:茂:無異體
序214 :A03444:范:范:佔格:一簡對一:G1-01010:范:范:無異體:G1-01010:范:範:無異體
序215 :A03019:範:范:範:一簡對一:G1-01010:范:范:無異體:G1-01010:范:範:無異體
序216 :A03444:范:范:佔格:一簡對一:G1-01010:范:范:無異體:G1-01010:范:範:無異體
序218 :A03449:茄:茄:佔格:一簡對一:G1-01013:無繁體:茄:無異體
序220 :A03445:茅:茅:佔格:一簡對一:G1-01016:無繁體:茅:無異體
序222 :B03830:茆:茆:無相關對應:一對未知:G2-03867:無繁體:茆:無異體
序224 :B03816:茇:茇:無相關對應:一對未知
序225 :B03849:茈:茈:無相關對應:一對未知:G3-06787:無繁體:茈:無異體
序227 :A03452:茉:茉:佔格:一簡對一:G1-00998:無繁體:茉:無異體
序229 ::::::G3-06659:無繁體:茋:無異體
序230 :B03828:茌:茌:無相關對應:一對未知:G2-03863:無繁體:茌:無異體
序232 :A03484:莖:茎:莖:一簡對一:G1-01014:莖:茎:無異體
序234 :B04157:蘢:茏:蘢:一對未知:G2-03857:蘢:茏:無異體
序236 :B04049:蔦:茑:蔦:一對未知:G2-03868:蔦:茑:無異體
序238 ::::::G2-03869:無繁體:茓:無異體
序239 :B00571:塋:茔:塋:一對未知:G2-03870:塋:茔:無異體
序241 :B02414:煢:茕:煢:一對未知:G2-03871:煢:茕:無異體
序243 ::::::G3-06658:無繁體:𦭜:無異體
序244 :B03852:茖:茖:無相關對應:一對未知
序245 :A03476:茗:茗:佔格:一簡對一:G2-04125:無繁體:茗:無異體
序247 :B03836:茙:茙:無相關對應:一對未知
序248 ::::::G2-03866:無繁體:茚:無異體
序249 :B03847:茛:茛:無相關對應:一對未知:G3-06795:無繁體:茛:無異體
序251 :B03843:茜:茜:無相關對應:一對未知:G2-04108:無繁體:茜:無異體
序253 :B03854:茠:茠:無相關對應:一對未知
序254 :B03844:茢:茢:無相關對應:一對未知
序255 :B03853:茤:茤:無相關對應:一對未知
序256 :B03838:茥:茥:無相關對應:一對未知
序257 :B03842:茦:茦:無相關對應:一對未知
序258 :A03182:繭:茧:繭:一簡對一:G1-01409:繭:茧:蠒
序260 :B03833:茨:茨:無相關對應:一對未知:G2-04128:無繁體:茨:無異體
序262 :B03857:茩:茩:無相關對應:一對未知
序263 :B03848:茪:茪:無相關對應:一對未知
序264 :A03463:茫:茫:佔格:一簡對一:G1-01413:無繁體:茫:無異體
序266 ::::::G1-01404:無繁體:茬:無異體
序267 :B03834:茭:茭:無相關對應:一對未知:G2-04127:無繁體:茭:無異體
序269 :B03856:茯:茯:無相關對應:一對未知:G2-04119:無繁體:茯:無異體
序271 :A03478:茱:茱:佔格:一簡對一:G2-04116:無繁體:茱:無異體
序273 :B03832:茳:茳:無相關對應:一對未知:G3-06793:無繁體:茳:無異體
序275 :A03471:茴:茴:佔格:一簡對一:G2-04115:無繁體:茴:無異體
序277 :A03470:茵:茵:佔格:一簡對一:G1-01410:無繁體:茵:無異體
序279 :A03475:茶:茶:佔格:一簡對一:G1-01411:無繁體:茶:無異體
序281 :B03855:茷:茷:無相關對應:一對未知
序282 :A03467:茸:茸:佔格:一簡對一:G1-01402:無繁體:茸:無異體
序284 :A03474:茹:茹:佔格:一簡對一:G2-04136:無繁體:茹:無異體
序286 :B03820:茺:茺:無相關對應:一對未知:G3-06790:無繁體:茺:無異體
序288 :B03861:茻:茻:無相關對應:一對未知
序289 :B03850:茼:茼:無相關對應:一對未知:G2-04114:無繁體:茼:無異體
序291 ::::::G3-06788:無繁體:茽:無異體
序292 :B03840:茿:茿:無相關對應:一對未知
序293 :A03477:荀:荀:佔格:一簡對一:G2-04124:無繁體:荀:無異體
序295 :B03841:荁:荁:無相關對應:一對未知:G3-06784:無繁體:荁:無異體
序297 :B03845:荂:荂:無相關對應:一對未知
序298 :B03859:荃:荃:無相關對應:一對未知:G2-04122:無繁體:荃:無異體
序300 :B03835:荄:荄:無相關對應:一對未知:G3-06789:無繁體:荄:無異體
序302 :B03860:荅:荅:無相關對應:一對未知
序303 :A03466:荊:荆:佔格:一簡對一:G1-01401:無繁體:荆:無異體
序305 :B03858:荇:荇:無相關對應:一對未知:G2-04121:無繁體:荇:無異體
序307 :A03469:草:草:佔格:一簡對一:G1-01408:無繁體:草:艸
序309 :B03851:荍:荍:無相關對應:一對未知
序310 :B03846:荎:荎:無相關對應:一對未知
序311 :A03472:荏:荏:佔格:一簡對一:G2-04120:無繁體:荏:無異體
序313 :A03468:荐:荐:佔格:一簡對一:G1-01405:薦:荐:無異體
序315 :B03837:荑:荑:無相關對應:一對未知:G2-04110:無繁體:荑:無異體
