序362 :A03146:緇:缁:緇:一簡對一:G2-05040:緇:缁:無異體
序364 ::::::G3-07278:綡:𫟅:無異體
序365 ::::::G3-07273:綪:𬘬:無異體
序366 ::::::G3-07274:綝:𬘭:無異體
序367 ::::::G3-07279:綧:𬘯:無異體
序368 :B03409:緙:缂:緙:一對未知:G2-05328:緙:缂:無異體
序370 :B03408:緗:缃:緗:一對未知:G2-05329:緗:缃:無異體
序372 :A03151:緘:缄:緘:一簡對一:G2-05330:緘:缄:椷
序374 :A03152:緬:缅:緬:一簡對一:G1-02814:緬:缅:無異體
序376 :A03194:纜:缆:纜:一簡對一:G1-02815:纜:缆:無異體
序378 :B03415:緹:缇:緹:一對未知:G2-05332:緹:缇:無異體
序380 :B03414:緲:缈:緲:一對未知:G2-05333:緲:缈:無異體
序382 :A03153:緝:缉:緝:一簡對一:G1-02816:緝:缉:無異體
序384 :B03431:縕:缊:縕:一對未知:G3-07458:緼:缊:無異體
序386 :B03464:繢:缋:繢:一對未知
序387 :B03413:緦:缌:緦:一對未知:G2-05334:緦:缌:無異體
序389 :A03159:綞:缍:佔格:一簡對一
序390 :A03157:緞:缎:緞:一簡對一:G1-02817:緞:缎:無異體
序392 :B03416:緶:缏:緶:一對未知
序393 :A03156:線:缐:線:一簡對一:G3-07459:線:缐:無異體
序395 :B03417:緱:缑:緱:一對未知:G2-05335:緱:缑:無異體
序397 :B03435:縋:缒:縋:一對未知:G2-05336:縋:缒:無異體
序399 :A03158:緩:缓:緩:一簡對一:G1-02818:緩:缓:無異體
序401 :A03147:締:缔:締:一簡對一:G1-02819:締:缔:無異體
序403 :A03168:縷:缕:縷:一簡對一:G1-02820:縷:缕:無異體
序405 :A03154:編:编:編:一簡對一:G1-02822:編:编:無異體
序407 :B03410:緡:缗:緡:一對未知:G2-05337:緡:缗:無異體
序409 :A03155:緣:缘:緣:一簡對一:G1-02824:緣:缘:無異體
序411 :B03428:縉:缙:縉:一對未知:G2-05610:縉:缙:無異體
序413 :A03163:縛:缚:縛:一簡對一:G1-03044:縛:缚:無異體
序414 :B03441:縳:缚:縳:一對未知:G1-03044:縛:缚:無異體
序415 :A03163:縛:缚:縛:一簡對一:G1-03044:縛:缚:無異體
序416 :B03441:縳:缚:縳:一對未知:G1-03044:縛:缚:無異體
序418 :B03424:縟:缛:縟:一對未知:G2-05612:縟:缛:無異體
序420 :B03426:縝:缜:縝:一對未知:G2-05611:縝:缜:無異體
序422 :A03171:縫:缝:縫:一簡對一:G1-03045:縫:缝:無異體
序424 :B03422:縗:缞:縗:一對未知:G3-07619:縗:缞:無異體
序426 :B03421:縞:缟:縞:一對未知:G2-05615:縞:缟:無異體
序428 :A03190:纏:缠:纏:一簡對一:G1-03046:纏:缠:無異體
序430 :B03437:縭:缡:縭:一對未知:G2-05616:縭:缡:無異體
序432 :A03160:縊:缢:縊:一簡對一:G2-05617:縊:缢:無異體
序434 :A03161:縑:缣:縑:一簡對一:G2-05618:縑:缣:無異體
序436 :A03187:繽:缤:繽:一簡對一:G1-03047:繽:缤:無異體
序438 :B03442:縹:缥:縹:一對未知:G2-05842:縹:缥:無異體
序440 :B03446:縵:缦:縵:一對未知:G2-05843:縵:缦:無異體
序442 :A03169:縲:缧:縲:一簡對一:G2-05844:縲:缧:無異體
序444 :A03192:纓:缨:纓:一簡對一:G2-05845:纓:缨:無異體
序446 :A03165:縮:缩:縮:一簡對一:G1-03188:縮:缩:無異體
序448 :A03167:繆:缪:繆:一簡對一:G2-05847:繆:缪:無異體
序450 :A03174:繅:缫:繅:一簡對一:G2-05848:繅:缫:無異體
序452 ::::::G3-07746:縯:𬙂:無異體
序453 :B03485:纈:缬:纈:一對未知:G2-06021:纈:缬:無異體
序455 :A03179:繚:缭:繚:一簡對一:G1-03314:繚:缭:無異體
序457 :A03177:繕:缮:繕:一簡對一:G2-06022:繕:缮:無異體
序459 :B03458:繒:缯:繒:一對未知:G2-06023:繒:缯:無異體
序461 :A04523:韁:缰:繮:一簡對一:G1-03386:繮:缰:韁
序463 :B03480:繾:缱:繾:一對未知:G2-06192:繾:缱:無異體
序465 :B03472:繰:缲:繰:一對未知:G2-06193:繰:缲:無異體
序467 :B03474:繯:缳:繯:一對未知:G2-06194:繯:缳:無異體
序469 :B03476:繳:缴:繳:一對未知:G1-03387:繳:缴:無異體
序471 :B03471:繸:䍁:繸:一對未知
序472 ::::::G3-07916:繶:𫄷:無異體
序473 ::::::G3-07979:繻:𦈡:無異體
序474 ::::::G3-07980:纁:𫄸:無異體
序475 ::::::G3-08030:纆:𬙊:無異體
序476 :B03494:纘:缵:纘:一對未知:G2-06419:纘:缵:無異體
序478 ::::::G3-08073:纕:𬙋:無異體
序479 :A03137:網:网:網:一簡對一:G1-00442:網:网:無異體
序481 :B03466:繙:翻:繙:一對未知
序482 :A03150:緻:致:緻:一簡對一
序483 :A03182:繭:茧:繭:一簡對一:G1-01409:繭:茧:蠒
序485 :A03162:縈:萦:縈:一簡對一:G2-04767:縈:萦:無異體
序487 :B03444:繈:襁:繈:一對未知
