序200 :B02379:炱:炱:無相關對應:一對未知:G2-04391:無繁體:炱:無異體
序201 :A02396:炳:炳:佔格:一簡對一:G2-04324:無繁體:炳:無異體
序202 :B02375:炷:炷:無相關對應:一對未知:G2-04329:無繁體:炷:無異體
序203 :A02400:炸:炸:佔格:一簡對一:G1-01656:無繁體:炸:無異體
序204 :A04775:點:点:點:一簡對一:G1-01469:點:点:無異體
序205 :A02423:煉:炼:煉:一簡對多:G1-01655:煉:炼:鍊
序206 :A04322:鍊:炼:佔格:一簡對多:G1-01655:煉:炼:鍊
序207 :A02440:熾:炽:熾:一簡對一:G2-04326:熾:炽:無異體
序208 :B02378:炾:炾:無相關對應:一對未知
序209 :A02462:爍:烁:爍:一簡對一:G1-01657:爍:烁:無異體
序210 :A02464:爛:烂:爛:一簡對一:G1-01660:爛:烂:無異體
序211 :B02391:烴:烃:烴:一對未知:G2-04330:烴:烃:無異體
序212 :A02406:烈:烈:佔格:一簡對一:G1-01871:無繁體:烈:無異體
序213 :A02402:烊:烊:佔格:一簡對一:G2-04640:無繁體:烊:無異體
序214 :B02385:烋:烋:無相關對應:一對未知
序215 :B02383:烑:烑:無相關對應:一對未知
序216 :B02382:烓:烓:無相關對應:一對未知
序217 :A02403:烘:烘:佔格:一簡對一:G1-02058:無繁體:烘:無異體
序218 :A02405:烙:烙:佔格:一簡對一:G1-02063:無繁體:烙:無異體
序219 :A02457:燭:烛:燭:一簡對一:G1-02061:燭:烛:無異體
序220 :B02381:烜:烜:無相關對應:一對未知:G2-04637:無繁體:烜:無異體
序221 :B02384:烝:烝:無相關對應:一對未知:G3-07086:無繁體:烝:無異體
序222 :A02420:煙:烟:佔格:一簡對多:G1-02062:無繁體:烟:菸煙
序223 :A03497:菸:烟:佔格:一簡對多:G1-02062:無繁體:烟:菸煙
序224 :A02404:烤:烤:佔格:一簡對一:G1-02057:無繁體:烤:無異體
序225 :A02421:煩:烦:煩:一簡對一:G1-02059:煩:烦:無異體
序226 :A02443:燒:烧:燒:一簡對一:G1-02060:燒:烧:無異體
序227 :B02436:燁:烨:燁:一對未知:G2-04638:燁:烨:爗
序228 :A02459:燴:烩:燴:一簡對一:G2-04639:燴:烩:無異體
序229 :A02448:燙:烫:燙:一簡對一:G1-02087:燙:烫:無異體
序230 :B02442:燼:烬:燼:一對未知:G2-04643:燼:烬:無異體
序231 :A02438:熱:热:熱:一簡對一:G1-01809:熱:热:無異體
序232 :B02393:烯:烯:無相關對應:一對未知:G2-04957:無繁體:烯:無異體
序233 :B02394:烰:烰:無相關對應:一對未知
序234 :B02389:烷:烷:無相關對應:一對未知:G2-04961:無繁體:烷:無異體
序235 :A02408:烹:烹:佔格:一簡對一:G1-02377:無繁體:烹:無異體
序236 :B02387:烺:烺:無相關對應:一對未知:G3-07231:無繁體:烺:無異體
序237 :B02400:烻:烻:無相關對應:一對未知:G3-07052:無繁體:烻:無異體
序238 :A02411:烽:烽:佔格:一簡對一:G2-04959:無繁體:烽:無異體
序239 :B02395:焄:焄:無相關對應:一對未知
序240 :A02409:焉:焉:佔格:一簡對一:G1-02169:無繁體:焉:無異體
序241 :A02410:焊:焊:佔格:一簡對一:G1-02408:無繁體:焊:釬銲
序242 :B05357:銲:焊:銲:一對未知:G1-02408:無繁體:焊:釬銲
序243 :B02392:焌:焌:無相關對應:一對未知:G3-07232:無繁體:焌:無異體
序244 :B02388:焍:焍:無相關對應:一對未知
序245 :A02429:煥:焕:佔格:一簡對一:G1-02409:無繁體:焕:無異體
序246 :A02449:燜:焖:燜:一簡對一:G2-04960:燜:焖:無異體
序247 :B02390:焗:焗:無相關對應:一對未知:G2-04962:無繁體:焗:無異體
序248 :B02445:燾:焘:燾:一對未知:G2-04711:燾:焘:無異體
序249 :A02412:焙:焙:佔格:一簡對一:G2-05274:無繁體:焙:無異體
序250 :A02413:焚:焚:佔格:一簡對一:G1-02568:無繁體:焚:無異體
序251 :B02399:焜:焜:無相關對應:一對未知:G2-05273:無繁體:焜:無異體
序252 :B02397:焞:焞:無相關對應:一對未知:G3-07422:無繁體:焞:無異體
序253 :B02396:焠:焠:無相關對應:一對未知
序254 :B02403:焣:焣:無相關對應:一對未知
序255 :A02414:焦:焦:佔格:一簡對一:G1-02695:無繁體:焦:無異體
序256 :B02401:焮:焮:無相關對應:一對未知
序257 :B02398:焯:焯:無相關對應:一對未知:G2-05272:無繁體:焯:無異體
序258 :A02415:焰:焰:佔格:一簡對多:G1-02748:無繁體:焰:燄
序259 :A02451:燄:焰:佔格:一簡對多:G1-02748:無繁體:焰:燄
序260 :B02402:焱:焱:無相關對應:一對未知:G2-05275:無繁體:焱:無異體
序261 :A02417:然:然:佔格:一簡對一:G1-02723:無繁體:然:無異體
序262 :A02418:煮:煮:佔格:一簡對一:G1-02529:無繁體:煮:煑
序263 :B02410:煁:煁:無相關對應:一對未知:G3-07581:無繁體:煁:無異體
序264 :B02407:煆:煆:無相關對應:一對未知
序265 :B02404:煇:煇:無相關對應:一對未知
序266 :A02428:煌:煌:佔格:一簡對一:G1-03004:無繁體:煌:無異體
序267 :A02419:煎:煎:佔格:一簡對一:G1-03000:無繁體:煎:無異體
序268 :B02405:煔:煔:無相關對應:一對未知
序269 :A02425:煜:煜:佔格:一簡對一:G2-05560:無繁體:煜:無異體
序270 :B02411:煝:煝:無相關對應:一對未知
序271 :A02430:煞:煞:佔格:一簡對一:G1-02982:無繁體:煞:無異體
序272 :B02409:煠:煠:無相關對應:一對未知
序273 :B02408:煣:煣:無相關對應:一對未知
序274 :A02422:煤:煤:佔格:一簡對一:G1-03003:無繁體:煤:無異體
序275 :A02427:煦:煦:佔格:一簡對一:G2-05448:無繁體:煦:無異體
