序196 :A04333:鎢:钨:鎢:一簡對一:G2-04244:鎢:钨:無異體
序198 :A04285:鉤:钩:鈎:一簡對一:G1-01534:鈎:钩:鉤
序200 ::::::G3-06849:鈧:钪:無異體
序201 :B05283:鈁:钫:鈁:一對未知:G2-04245:鈁:钫:無異體
序203 :B05285:鈥:钬:鈥:一對未知:G3-06850:鈥:钬:無異體
序205 ::::::G3-06851:鈄:钭:無異體
序206 :A04272:鈕:钮:鈕:一簡對一:G1-01535:鈕:钮:無異體
序208 :B05292:鈀:钯:鈀:一對未知:G2-04246:鈀:钯:無異體
序210 ::::::G3-06844:鈇:𫓧:無異體
序211 ::::::G3-06848:錀:𬬭:無異體
序212 ::::::G3-06846:鋹:𬬮:無異體
序213 ::::::G3-06847:釿:𬬱:無異體
序214 :B05303:鈺:钰:鈺:一對未知:G2-04527:鈺:钰:無異體
序216 :A04311:錢:钱:錢:一簡對一:G1-01928:錢:钱:無異體
序218 :B05304:鉦:钲:鉦:一對未知:G2-04528:鉦:钲:無異體
序220 :A04278:鉗:钳:鉗:一簡對一:G1-01929:鉗:钳:無異體
序221 :B01265:拑:钳:拑:一對未知:G1-01929:鉗:钳:無異體
序223 :A04277:鈷:钴:鈷:一簡對一:G2-04529:鈷:钴:無異體
序225 :A03198:缽:钵:鉢:一簡對一:G2-04530:鉢:钵:盋缽
序227 :B05306:鈳:钶:鈳:一對未知
序228 ::::::G3-07005:鉕:钷:無異體
序229 :A04279:鈸:钹:鈸:一簡對一:G2-04531:鈸:钹:無異體
序231 ::::::G2-04532:鉞:钺:無異體
序232 :A04365:鑽:钻:鑽:一簡對一:G1-01930:鑽:钻:鑚
序233 :B05313:鉆:钻:鉆:一對未知:G1-01930:鑽:钻:鑚
序235 :B05315:鉬:钼:鉬:一對未知:G2-04534:鉬:钼:無異體
序237 :B05314:鉭:钽:鉭:一對未知:G2-04533:鉭:钽:無異體
序239 :A04281:鉀:钾:鉀:一簡對一:G1-01931:鉀:钾:無異體
序241 :B05317:鈿:钿:鈿:一對未知:G2-04535:鈿:钿:無異體
序243 :A04282:鈾:铀:鈾:一簡對一:G2-04536:鈾:铀:無異體
序245 :A04354:鐵:铁:鐵:一簡對一:G1-01932:鐵:铁:無異體
序247 :A04286:鉑:铂:鉑:一簡對一:G2-04537:鉑:铂:無異體
序249 :A04287:鈴:铃:鈴:一簡對一:G1-01933:鈴:铃:無異體
序251 :A04362:鑠:铄:鑠:一簡對一:G2-04538:鑠:铄:無異體
序253 :A04283:鉛:铅:鉛:一簡對一:G1-01934:鉛:铅:鈆
序255 :B05321:鉚:铆:鉚:一對未知:G2-04539:鉚:铆:無異體
序257 :B05300:鈰:铈:鈰:一對未知:G2-04540:鈰:铈:無異體
序259 :B05301:鉉:铉:鉉:一對未知:G2-04541:鉉:铉:無異體
序261 :B05298:鉈:铊:鉈:一對未知:G2-04542:鉈:铊:無異體
序263 :B05302:鉍:铋:鉍:一對未知:G2-04543:鉍:铋:無異體
序265 :B05310:鈮:铌:鈮:一對未知:G2-04544:鈮:铌:無異體
序267 :B05312:鈹:铍:鈹:一對未知:G2-04545:鈹:铍:無異體
序269 :A04356:鐸:铎:鐸:一簡對一:G2-04547:鐸:铎:無異體
序271 ::::::G2-04546:鏺:䥽:無異體
序272 ::::::G3-07004:鉥:𬬸:無異體
序273 ::::::G3-07007:鉮:𬬹:無異體
序274 ::::::G3-07006:鑪:𬬻:無異體
序275 ::::::G3-07008:鉊:𬬿:無異體
序276 ::::::G3-07009:鉧:𬭁:無異體
序277 :B05327:鉶:铏:鉶:一對未知:G3-07176:鉶:铏:無異體
序279 :A04289:銬:铐:銬:一簡對一:G1-02303:銬:铐:無異體
序281 :B05330:銠:铑:銠:一對未知:G2-04865:銠:铑:無異體
序283 :B05329:鉺:铒:鉺:一對未知:G2-04866:鉺:铒:無異體
序285 :B05354:鋩:铓:鋩:一對未知
序286 :B05371:錏:铔:錏:一對未知
序287 :B05332:銪:铕:銪:一對未知:G3-07179:銪:铕:無異體
序289 :B05342:鋮:铖:鋮:一對未知:G3-07181:鋮:铖:無異體
序291 :B05350:鋏:铗:鋏:一對未知:G2-04867:鋏:铗:無異體
序293 ::::::G3-07182:鋣:铘:無異體
序294 :A04350:鐃:铙:鐃:一簡對一:G2-04868:鐃:铙:無異體
序296 :B05333:銍:铚:銍:一對未知:G3-07183:銍:铚:無異體
序298 :A04355:鐺:铛:鐺:一簡對一:G1-02304:鐺:铛:無異體
序300 :A04291:銅:铜:銅:一簡對一:G1-02306:銅:铜:無異體
序302 :A04302:鋁:铝:鋁:一簡對一:G1-02305:鋁:铝:無異體
序304 ::::::G3-07184:銱:铞:無異體
序305 :B05334:銦:铟:銦:一對未知:G2-04869:銦:铟:無異體
序307 :B05418:鎧:铠:鎧:一對未知:G2-04870:鎧:铠:無異體
序309 :B05395:鍘:铡:鍘:一對未知:G2-04871:鍘:铡:無異體
序311 :A04293:銖:铢:銖:一簡對一:G2-04872:銖:铢:無異體
序313 :B05336:銑:铣:銑:一對未知:G2-04873:銑:铣:無異體
序315 :B05360:鋌:铤:鋌:一對未知:G2-04874:鋌:铤:無異體
序317 ::::::G3-07185:銩:铥:無異體
序318 :B05328:銛:铦:銛:一對未知
序319 :B05451:鏵:铧:鏵:一對未知:G2-04875:鏵:铧:無異體
序321 :A04295:銓:铨:銓:一簡對一:G2-04876:銓:铨:無異體
序323 :B05435:鎩:铩:鎩:一對未知:G2-04877:鎩:铩:無異體
序325 :B05340:鉿:铪:鉿:一對未知:G2-04878:鉿:铪:無異體
序327 :B05335:銚:铫:銚:一對未知:G2-04879:銚:铫:無異體
序329 :A04294:鉻:铬:鉻:一簡對一:G2-04880:鉻:铬:無異體
