序1 :A03751:褻:亵:褻:一簡對一
序247 :A03731:裝:装:裝:一簡對一:G1-02726:裝:装:無異體
序249 :A03755:襠:裆:襠:一簡對一:G2-04999:襠:裆:無異體
序251 :B04527:褌:裈:褌:一對未知:G3-07252:褌:裈:無異體
序253 ::::::G2-05001:無繁體:裉:無異體
序254 :B04507:裋:裋:無相關對應:一對未知
序255 :B04508:裍:裍:無相關對應:一對未知
序256 :B04509:裎:裎:無相關對應:一對未知:G2-05306:無繁體:裎:無異體
序258 :B04512:裒:裒:無相關對應:一對未知:G2-05252:無繁體:裒:無異體
序260 :A03727:裔:裔:佔格:一簡對一:G2-05548:無繁體:裔:無異體
序262 :A03734:裕:裕:佔格:一簡對一:G1-02790:無繁體:裕:無異體
序264 :B04506:裖:裖:無相關對應:一對未知
序265 :B04496:裗:裗:無相關對應:一對未知
序266 :A03730:裘:裘:佔格:一簡對一:G2-05409:無繁體:裘:無異體
序268 :A03728:裙:裙:佔格:一簡對一:G1-02792:無繁體:裙:帬裠
序270 :B04513:裚:裚:無相關對應:一對未知
序271 :B04511:裛:裛:無相關對應:一對未知:G3-07570:無繁體:裛:無異體
序273 :B04510:裞:裞:無相關對應:一對未知
序274 :A03726:裟:裟:佔格:一簡對一:G2-05574:無繁體:裟:無異體
序276 ::::::G2-05305:褳:裢:無異體
序277 ::::::G3-07445:襝:裣:無異體
序278 :A03748:褲:裤:褲:一簡對一:G1-02791:褲:裤:袴
序280 ::::::G2-05307:襇:裥:無異體
序281 :A03741:裨:裨:佔格:一簡對一:G2-05598:無繁體:裨:無異體
序283 ::::::G2-05600:無繁體:裰:無異體
序284 ::::::G2-05596:無繁體:裱:無異體
序285 :A03735:裳:裳:佔格:一簡對一:G1-03099:無繁體:裳:無異體
序287 :A03737:裴:裴:佔格:一簡對一:G2-05688:無繁體:裴:無異體
序289 :A03739:裸:裸:佔格:一簡對一:G1-03032:無繁體:裸:躶臝
